Region,Country,Year,Age,Gender,Literacy rate
Central and Southern Asia,Bangladesh,2013,65+,total,0.2932688
Central and Southern Asia,Bangladesh,2014,15+,female,0.5786093
Central and Southern Asia,Bangladesh,2014,15+,male,0.6436508999999999
Central and Southern Asia,Bangladesh,2014,15+,total,0.610933
Central and Southern Asia,Bangladesh,2014,15-24,female,0.8648067
Central and Southern Asia,Bangladesh,2014,15-24,male,0.8462868
Central and Southern Asia,Bangladesh,2014,15-24,total,0.8555473
Central and Southern Asia,Bangladesh,2014,25-64,female,0.4988795
Central and Southern Asia,Bangladesh,2014,25-64,male,0.5874759
Central and Southern Asia,Bangladesh,2014,25-64,total,0.5425126
Central and Southern Asia,Bangladesh,2014,65+,female,0.228539
Central and Southern Asia,Bangladesh,2014,65+,male,0.4045049
Central and Southern Asia,Bangladesh,2014,65+,total,0.3214684
Central and Southern Asia,Bangladesh,2015,15+,female,0.6225299
Central and Southern Asia,Bangladesh,2015,15+,male,0.6805536
Central and Southern Asia,Bangladesh,2015,15+,total,0.6513733
Central and Southern Asia,Bangladesh,2015,15-24,female,0.8953506
Central and Southern Asia,Bangladesh,2015,15-24,male,0.8618795
Central and Southern Asia,Bangladesh,2015,15-24,total,0.8788876999999999
Central and Southern Asia,Bangladesh,2015,25-64,female,0.5518569999999999
Central and Southern Asia,Bangladesh,2015,25-64,male,0.6363317
Central and Southern Asia,Bangladesh,2015,25-64,total,0.5936339
Central and Southern Asia,Bangladesh,2015,65+,female,0.1927993
Central and Southern Asia,Bangladesh,2015,65+,male,0.42829189999999995
Central and Southern Asia,Bangladesh,2015,65+,total,0.3209923
Central and Southern Asia,Bangladesh,2016,15+,female,0.6989721
Central and Southern Asia,Bangladesh,2016,15+,male,0.7561884999999999
Central and Southern Asia,Bangladesh,2016,15+,total,0.7275872
Central and Southern Asia,Bangladesh,2016,15-24,female,0.9353532
Central and Southern Asia,Bangladesh,2016,15-24,male,0.9090535
Central and Southern Asia,Bangladesh,2016,15-24,total,0.9224264999999999
Central and Southern Asia,Bangladesh,2016,25-64,female,0.6415069
Central and Southern Asia,Bangladesh,2016,25-64,male,0.7201342
Central and Southern Asia,Bangladesh,2016,25-64,total,0.6807324
Central and Southern Asia,Bangladesh,2016,65+,female,0.250229
Central and Southern Asia,Bangladesh,2016,65+,male,0.5244415
Central and Southern Asia,Bangladesh,2016,65+,total,0.4004648
Central and Southern Asia,Bangladesh,2017,15+,female,0.7008570000000001
Central and Southern Asia,Bangladesh,2017,15+,male,0.7570236
Central and Southern Asia,Bangladesh,2017,15+,total,0.7289297
Central and Southern Asia,Bangladesh,2017,15-24,female,0.9437776
Central and Southern Asia,Bangladesh,2017,15-24,male,0.9154129000000001
Central and Southern Asia,Bangladesh,2017,15-24,total,0.9295076
Central and Southern Asia,Bangladesh,2017,25-64,female,0.6501461999999999
Central and Southern Asia,Bangladesh,2017,25-64,male,0.7207032999999999
Central and Southern Asia,Bangladesh,2017,25-64,total,0.6852086
Central and Southern Asia,Bangladesh,2017,65+,female,0.2716705
Central and Southern Asia,Bangladesh,2017,65+,male,0.5108921
Central and Southern Asia,Bangladesh,2017,65+,total,0.3946718
Central and Southern Asia,Bangladesh,2018,15+,female,0.7118194
Central and Southern Asia,Bangladesh,2018,15+,male,0.7666926
Central and Southern Asia,Bangladesh,2018,15+,total,0.739122
Central and Southern Asia,Bangladesh,2018,15-24,female,0.9491259
Central and Southern Asia,Bangladesh,2018,15-24,male,0.9180372
Central and Southern Asia,Bangladesh,2018,15-24,total,0.9329644
Central and Southern Asia,Bangladesh,2018,25-64,female,0.6682163
Central and Southern Asia,Bangladesh,2018,25-64,male,0.7283193
Central and Southern Asia,Bangladesh,2018,25-64,total,0.6975239000000001
Central and Southern Asia,Bangladesh,2018,65+,female,0.2676439
Central and Southern Asia,Bangladesh,2018,65+,male,0.530741
Central and Southern Asia,Bangladesh,2018,65+,total,0.40120449999999996
Central and Southern Asia,Bhutan,2012,15+,female,0.48016559999999997
Central and Southern Asia,Bhutan,2012,15+,male,0.6600306
Central and Southern Asia,Bhutan,2012,15+,total,0.570336
Central and Southern Asia,Bhutan,2012,15-24,female,0.8448774
Central and Southern Asia,Bhutan,2012,15-24,male,0.9039581
Central and Southern Asia,Bhutan,2012,15-24,total,0.8731836
Central and Southern Asia,Bhutan,2012,25-64,female,0.3561217
Central and Southern Asia,Bhutan,2012,25-64,male,0.6149388
Central and Southern Asia,Bhutan,2012,25-64,total,0.48707090000000003
Central and Southern Asia,Bhutan,2012,65+,female,0.0386781
Central and Southern Asia,Bhutan,2012,65+,male,0.24280770000000002
Central and Southern Asia,Bhutan,2012,65+,total,0.1493796
Central and Southern Asia,Bhutan,2017,15+,female,0.5708362
Central and Southern Asia,Bhutan,2017,15+,male,0.7501985000000001
Central and Southern Asia,Bhutan,2017,15+,total,0.6656115
Central and Southern Asia,Bhutan,2017,15-24,female,0.9289112
Central and Southern Asia,Bhutan,2017,15-24,male,0.9327016
Central and Southern Asia,Bhutan,2017,15-24,total,0.9309063000000001
Central and Southern Asia,Bhutan,2017,25-64,female,0.4842457
Central and Southern Asia,Bhutan,2017,25-64,male,0.7219546
Central and Southern Asia,Bhutan,2017,25-64,total,0.6106931999999999
Central and Southern Asia,Bhutan,2017,65+,female,0.0940589
Central and Southern Asia,Bhutan,2017,65+,male,0.35968249999999996
Central and Southern Asia,Bhutan,2017,65+,total,0.2285834
Central and Southern Asia,India,2011,15+,female,0.5927732
Central and Southern Asia,India,2011,15+,male,0.7887723
Central and Southern Asia,India,2011,15+,total,0.6930256
Central and Southern Asia,India,2011,15-24,female,0.8184981
Central and Southern Asia,India,2011,15-24,male,0.9004483000000001
Central and Southern Asia,India,2011,15-24,total,0.8614488
Central and Southern Asia,India,2011,25-64,female,0.5399607000000001
Central and Southern Asia,India,2011,25-64,male,0.7647395
Central and Southern Asia,India,2011,25-64,total,0.6543287
Central and Southern Asia,India,2011,65+,female,0.2669628
Central and Southern Asia,India,2011,65+,male,0.5717637
Central and Southern Asia,India,2011,65+,total,0.41603569999999995
Central and Southern Asia,India,2018,15+,female,0.6579080999999999
Central and Southern Asia,India,2018,15+,male,0.8236671
Central and Southern Asia,India,2018,15+,total,0.7437299
Central and Southern Asia,India,2018,15-24,female,0.9016940999999999
Central and Southern Asia,India,2018,15-24,male,0.9299297
Central and Southern Asia,India,2018,15-24,total,0.9166404
Central and Southern Asia,India,2018,25-64,female,0.6172655
Central and Southern Asia,India,2018,25-64,male,0.8073891999999999
Central and Southern Asia,India,2018,25-64,total,0.7157669
Central and Southern Asia,India,2018,65+,female,0.3028636
Central and Southern Asia,India,2018,65+,male,0.6167022999999999
Central and Southern Asia,India,2018,65+,total,0.4537899
Central and Southern Asia,Iran (Islamic Republic of),2012,15+,female,0.7841627
Central and Southern Asia,Iran (Islamic Republic of),2012,15+,male,0.8887982
Central and Southern Asia,Iran (Islamic Republic of),2012,15+,total,0.8362599000000001
Central and Southern Asia,Iran (Islamic Republic of),2012,15-24,female,0.9766178999999999
Central and Southern Asia,Iran (Islamic Republic of),2012,15-24,male,0.9833392000000001
Central and Southern Asia,Iran (Islamic Republic of),2012,15-24,total,0.9801439999999999
Central and Southern Asia,Iran (Islamic Republic of),2012,25-64,female,0.7834703000000001
Central and Southern Asia,Iran (Islamic Republic of),2012,25-64,male,0.9016576999999999
Central and Southern Asia,Iran (Islamic Republic of),2012,25-64,total,0.8412421999999999
Central and Southern Asia,Iran (Islamic Republic of),2012,65+,female,0.20644649999999998
Central and Southern Asia,Iran (Islamic Republic of),2012,65+,male,0.4489145
Central and Southern Asia,Iran (Islamic Republic of),2012,65+,total,0.3261885
Central and Southern Asia,Iran (Islamic Republic of),2013,15+,female,0.7975584000000001
Central and Southern Asia,Iran (Islamic Republic of),2013,15+,male,0.8954248
Central and Southern Asia,Iran (Islamic Republic of),2013,15+,total,0.846268
Central and Southern Asia,Iran (Islamic Republic of),2013,15-24,female,0.9743797999999999
Central and Southern Asia,Iran (Islamic Republic of),2013,15-24,male,0.9810902
Central and Southern Asia,Iran (Islamic Republic of),2013,15-24,total,0.977773
Central and Southern Asia,Iran (Islamic Republic of),2013,25-64,female,0.8041680999999999
Central and Southern Asia,Iran (Islamic Republic of),2013,25-64,male,0.9125407
Central and Southern Asia,Iran (Islamic Republic of),2013,25-64,total,0.857942
Central and Southern Asia,Iran (Islamic Republic of),2013,65+,female,0.22462330000000003
Central and Southern Asia,Iran (Islamic Republic of),2013,65+,male,0.4660938
Central and Southern Asia,Iran (Islamic Republic of),2013,65+,total,0.3425027
Central and Southern Asia,Iran (Islamic Republic of),2014,15+,female,0.7983935
Central and Southern Asia,Iran (Islamic Republic of),2014,15+,male,0.8963542
Central and Southern Asia,Iran (Islamic Republic of),2014,15+,total,0.8470524
Central and Southern Asia,Iran (Islamic Republic of),2014,15-24,female,0.9767817
Central and Southern Asia,Iran (Islamic Republic of),2014,15-24,male,0.9819154
Central and Southern Asia,Iran (Islamic Republic of),2014,15-24,total,0.9793787
Central and Southern Asia,Iran (Islamic Republic of),2014,25-64,female,0.8084387
Central and Southern Asia,Iran (Islamic Republic of),2014,25-64,male,0.9140845
Central and Southern Asia,Iran (Islamic Republic of),2014,25-64,total,0.8607834
Central and Southern Asia,Iran (Islamic Republic of),2014,65+,female,0.22445
Central and Southern Asia,Iran (Islamic Republic of),2014,65+,male,0.46973590000000004
Central and Southern Asia,Iran (Islamic Republic of),2014,65+,total,0.3428904
Central and Southern Asia,Iran (Islamic Republic of),2016,15+,female,0.8078744
Central and Southern Asia,Iran (Islamic Republic of),2016,15+,male,0.9035241
Central and Southern Asia,Iran (Islamic Republic of),2016,15+,total,0.8554425000000001
Central and Southern Asia,Iran (Islamic Republic of),2016,15-24,female,0.9792512999999999
Central and Southern Asia,Iran (Islamic Republic of),2016,15-24,male,0.9826797
Central and Southern Asia,Iran (Islamic Republic of),2016,15-24,total,0.9810135
Central and Southern Asia,Iran (Islamic Republic of),2016,25-64,female,0.8259801
Central and Southern Asia,Iran (Islamic Republic of),2016,25-64,male,0.9226006999999999
Central and Southern Asia,Iran (Islamic Republic of),2016,25-64,total,0.8738487
Central and Southern Asia,Iran (Islamic Republic of),2016,65+,female,0.24882079999999998
Central and Southern Asia,Iran (Islamic Republic of),2016,65+,male,0.49943689999999996
Central and Southern Asia,Iran (Islamic Republic of),2016,65+,total,0.3677053
Central and Southern Asia,Kazakhstan,2010,15+,female,0.9973899
Central and Southern Asia,Kazakhstan,2010,15+,male,0.9982968
Central and Southern Asia,Kazakhstan,2010,15+,total,0.9978163000000001
Central and Southern Asia,Kazakhstan,2010,15-24,female,0.9985091
Central and Southern Asia,Kazakhstan,2010,15-24,male,0.9994014
Central and Southern Asia,Kazakhstan,2010,15-24,total,0.9989736
Central and Southern Asia,Kazakhstan,2010,25-64,female,0.9974727
Central and Southern Asia,Kazakhstan,2010,25-64,male,0.9983287
Central and Southern Asia,Kazakhstan,2010,25-64,total,0.9978774
Central and Southern Asia,Kazakhstan,2010,65+,female,0.9952126
Central and Southern Asia,Kazakhstan,2010,65+,male,0.9944911999999999
Central and Southern Asia,Kazakhstan,2010,65+,total,0.9949631999999999
Central and Southern Asia,Kyrgyzstan,2018,15+,female,0.9949971999999999
Central and Southern Asia,Kyrgyzstan,2018,15+,male,0.9967701
Central and Southern Asia,Kyrgyzstan,2018,15+,total,0.99586
Central and Southern Asia,Kyrgyzstan,2018,15-24,female,0.9981
Central and Southern Asia,Kyrgyzstan,2018,15-24,male,0.9969
Central and Southern Asia,Kyrgyzstan,2018,15-24,total,0.9975
Central and Southern Asia,Kyrgyzstan,2018,25-64,female,0.9978391999999999
Central and Southern Asia,Kyrgyzstan,2018,25-64,male,0.9974626999999999
Central and Southern Asia,Kyrgyzstan,2018,25-64,total,0.9976552
Central and Southern Asia,Kyrgyzstan,2018,65+,female,0.9616294999999999
Central and Southern Asia,Kyrgyzstan,2018,65+,male,0.9871030000000001
Central and Southern Asia,Kyrgyzstan,2018,65+,total,0.9713379000000001
Central and Southern Asia,Maldives,2014,15+,female,0.9869167
Central and Southern Asia,Maldives,2014,15+,male,0.9852034000000001
Central and Southern Asia,Maldives,2014,15+,total,0.9861011999999999
Central and Southern Asia,Maldives,2014,15-24,female,0.9943955
Central and Southern Asia,Maldives,2014,15-24,male,0.9908132999999999
Central and Southern Asia,Maldives,2014,15-24,total,0.9926837999999999
Central and Southern Asia,Maldives,2014,25-64,female,0.9901342
Central and Southern Asia,Maldives,2014,25-64,male,0.9890561
Central and Southern Asia,Maldives,2014,25-64,total,0.9896275
Central and Southern Asia,Maldives,2014,65+,female,0.921363
Central and Southern Asia,Maldives,2014,65+,male,0.9331756
Central and Southern Asia,Maldives,2014,65+,total,0.9275723
Central and Southern Asia,Maldives,2016,15+,female,0.9811471
Central and Southern Asia,Maldives,2016,15+,male,0.9729893
Central and Southern Asia,Maldives,2016,15+,total,0.9773495
Central and Southern Asia,Maldives,2016,15-24,female,0.9908863
Central and Southern Asia,Maldives,2016,15-24,male,0.9839114999999999
Central and Southern Asia,Maldives,2016,15-24,total,0.9875364999999999
Central and Southern Asia,Maldives,2016,25-64,female,0.9857746000000001
Central and Southern Asia,Maldives,2016,25-64,male,0.9763757
Central and Southern Asia,Maldives,2016,25-64,total,0.9815238
Central and Southern Asia,Maldives,2016,65+,female,0.8909256000000001
Central and Southern Asia,Maldives,2016,65+,male,0.912063
Central and Southern Asia,Maldives,2016,65+,total,0.9023111
Central and Southern Asia,Nepal,2011,15+,female,0.4883759
Central and Southern Asia,Nepal,2011,15+,male,0.7170838
Central and Southern Asia,Nepal,2011,15+,total,0.5962725
Central and Southern Asia,Nepal,2011,15-24,female,0.8020683
Central and Southern Asia,Nepal,2011,15-24,male,0.8988402000000001
Central and Southern Asia,Nepal,2011,15-24,total,0.8475714999999999
Central and Southern Asia,Nepal,2011,25-64,female,0.3849667
Central and Southern Asia,Nepal,2011,25-64,male,0.6764494000000001
Central and Southern Asia,Nepal,2011,25-64,total,0.5216770000000001
Central and Southern Asia,Nepal,2011,65+,female,0.0602554
Central and Southern Asia,Nepal,2011,65+,male,0.35635039999999996
Central and Southern Asia,Nepal,2011,65+,total,0.2078409
Central and Southern Asia,Nepal,2018,15+,female,0.5972443
Central and Southern Asia,Nepal,2018,15+,male,0.7859134
Central and Southern Asia,Nepal,2018,15+,total,0.6790843
Central and Southern Asia,Nepal,2018,15-24,female,0.9088347
Central and Southern Asia,Nepal,2018,15-24,male,0.9403427999999999
Central and Southern Asia,Nepal,2018,15-24,total,0.9239381
Central and Southern Asia,Nepal,2018,25-64,female,0.513455
Central and Southern Asia,Nepal,2018,25-64,male,0.7444488
Central and Southern Asia,Nepal,2018,25-64,total,0.6071325000000001
Central and Southern Asia,Nepal,2018,65+,female,0.0865249
Central and Southern Asia,Nepal,2018,65+,male,0.4150309
Central and Southern Asia,Nepal,2018,65+,total,0.2362916
Central and Southern Asia,Pakistan,2010,15+,female,0.4101553
Central and Southern Asia,Pakistan,2010,15+,male,0.6890061
Central and Southern Asia,Pakistan,2010,15+,total,0.5537519000000001
Central and Southern Asia,Pakistan,2010,15-24,female,0.6229837
Central and Southern Asia,Pakistan,2010,15-24,male,0.7950414000000001
Central and Southern Asia,Pakistan,2010,15-24,total,0.7125962
Central and Southern Asia,Pakistan,2010,25-64,female,0.3098942
Central and Southern Asia,Pakistan,2010,25-64,male,0.6610507
Central and Southern Asia,Pakistan,2010,25-64,total,0.48684109999999997
Central and Southern Asia,Pakistan,2010,65+,female,0.2375533
Central and Southern Asia,Pakistan,2010,65+,male,0.3577518
Central and Southern Asia,Pakistan,2010,65+,total,0.24851959999999998
Central and Southern Asia,Pakistan,2011,15+,female,0.41975389999999996
Central and Southern Asia,Pakistan,2011,15+,male,0.6699114
Central and Southern Asia,Pakistan,2011,15+,total,0.5473802
Central and Southern Asia,Pakistan,2011,15-24,female,0.6313681
Central and Southern Asia,Pakistan,2011,15-24,male,0.7804242000000001
Central and Southern Asia,Pakistan,2011,15-24,total,0.7076933
Central and Southern Asia,Pakistan,2011,25-64,female,0.3191161
Central and Southern Asia,Pakistan,2011,25-64,male,0.6411115
Central and Southern Asia,Pakistan,2011,25-64,total,0.4802751
Central and Southern Asia,Pakistan,2011,65+,female,0.0988372
Central and Southern Asia,Pakistan,2011,65+,male,0.3372525
Central and Southern Asia,Pakistan,2011,65+,total,0.23975860000000002
Central and Southern Asia,Pakistan,2012,15+,female,0.4307189
Central and Southern Asia,Pakistan,2012,15+,male,0.6985822
Central and Southern Asia,Pakistan,2012,15+,total,0.5676434
Central and Southern Asia,Pakistan,2012,15-24,female,0.6447410000000001
Central and Southern Asia,Pakistan,2012,15-24,male,0.8028825999999999
Central and Southern Asia,Pakistan,2012,15-24,total,0.7258342
Central and Southern Asia,Pakistan,2012,25-64,female,0.32667630000000003
Central and Southern Asia,Pakistan,2012,25-64,male,0.6706964000000001
Central and Southern Asia,Pakistan,2012,25-64,total,0.49953420000000004
Central and Southern Asia,Pakistan,2012,65+,female,0.09486710000000001
Central and Southern Asia,Pakistan,2012,65+,male,0.3680466
Central and Southern Asia,Pakistan,2012,65+,total,0.2550246
Central and Southern Asia,Pakistan,2013,15+,female,0.41974939999999994
Central and Southern Asia,Pakistan,2013,15+,male,0.6862933999999999
Central and Southern Asia,Pakistan,2013,15+,total,0.5559499
Central and Southern Asia,Pakistan,2013,15-24,female,0.63438
Central and Southern Asia,Pakistan,2013,15-24,male,0.7940381
Central and Southern Asia,Pakistan,2013,15-24,total,0.7163622
Central and Southern Asia,Pakistan,2013,25-64,female,0.31702220000000003
Central and Southern Asia,Pakistan,2013,25-64,male,0.6578542000000001
Central and Southern Asia,Pakistan,2013,25-64,total,0.48794800000000005
Central and Southern Asia,Pakistan,2013,65+,female,0.091318
Central and Southern Asia,Pakistan,2013,65+,male,0.3531457
Central and Southern Asia,Pakistan,2013,65+,total,0.2450798
Central and Southern Asia,Pakistan,2014,15+,female,0.4428342
Central and Southern Asia,Pakistan,2014,15+,male,0.6906681
Central and Southern Asia,Pakistan,2014,15+,total,0.5697715
Central and Southern Asia,Pakistan,2014,15-24,female,0.6554779000000001
Central and Southern Asia,Pakistan,2014,15-24,male,0.7976598
Central and Southern Asia,Pakistan,2014,15-24,total,0.727954
Central and Southern Asia,Pakistan,2014,25-64,female,0.3377221
Central and Southern Asia,Pakistan,2014,25-64,male,0.6624576999999999
Central and Southern Asia,Pakistan,2014,25-64,total,0.5017697
Central and Southern Asia,Pakistan,2014,65+,female,0.09962580000000001
Central and Southern Asia,Pakistan,2014,65+,male,0.3570521
Central and Southern Asia,Pakistan,2014,65+,total,0.2529323
Central and Southern Asia,Pakistan,2017,15+,female,0.4646767
Central and Southern Asia,Pakistan,2017,15+,male,0.71116
Central and Southern Asia,Pakistan,2017,15+,total,0.5913205
Central and Southern Asia,Pakistan,2017,15-24,female,0.6753713
Central and Southern Asia,Pakistan,2017,15-24,male,0.8126352
Central and Southern Asia,Pakistan,2017,15-24,total,0.7452638
Central and Southern Asia,Pakistan,2017,25-64,female,0.3573592
Central and Southern Asia,Pakistan,2017,25-64,male,0.6838682
Central and Southern Asia,Pakistan,2017,25-64,total,0.5233925
Central and Southern Asia,Pakistan,2017,65+,female,0.10676830000000001
Central and Southern Asia,Pakistan,2017,65+,male,0.3814394
Central and Southern Asia,Pakistan,2017,65+,total,0.2706483
Central and Southern Asia,Sri Lanka,2010,15+,female,0.8995868
Central and Southern Asia,Sri Lanka,2010,15+,male,0.9257846999999999
Central and Southern Asia,Sri Lanka,2010,15+,total,0.9118136
Central and Southern Asia,Sri Lanka,2010,15-24,female,0.9858897
Central and Southern Asia,Sri Lanka,2010,15-24,male,0.9768653999999999
Central and Southern Asia,Sri Lanka,2010,15-24,total,0.9815792999999999
Central and Southern Asia,Sri Lanka,2010,25-64,female,0.9076137
Central and Southern Asia,Sri Lanka,2010,25-64,male,0.9213229
Central and Southern Asia,Sri Lanka,2010,25-64,total,0.9140077
Central and Southern Asia,Sri Lanka,2010,65+,female,0.6979488
Central and Southern Asia,Sri Lanka,2010,65+,male,0.8519763
Central and Southern Asia,Sri Lanka,2010,65+,total,0.7669585999999999
Central and Southern Asia,Sri Lanka,2016,15+,female,0.9148611
Central and Southern Asia,Sri Lanka,2016,15+,male,0.9345589
Central and Southern Asia,Sri Lanka,2016,15+,total,0.9238689999999999
Central and Southern Asia,Sri Lanka,2016,15-24,female,0.9894489
Central and Southern Asia,Sri Lanka,2016,15-24,male,0.9841123
Central and Southern Asia,Sri Lanka,2016,15-24,total,0.9868899
Central and Southern Asia,Sri Lanka,2016,25-64,female,0.9273121999999999
Central and Southern Asia,Sri Lanka,2016,25-64,male,0.9335104
Central and Southern Asia,Sri Lanka,2016,25-64,total,0.9301271
Central and Southern Asia,Sri Lanka,2016,65+,female,0.7631018
Central and Southern Asia,Sri Lanka,2016,65+,male,0.8683014
Central and Southern Asia,Sri Lanka,2016,65+,total,0.8096995
Central and Southern Asia,Sri Lanka,2017,15+,female,0.9097074
Central and Southern Asia,Sri Lanka,2017,15+,male,0.9298055
Central and Southern Asia,Sri Lanka,2017,15+,total,0.9189575000000001
Central and Southern Asia,Sri Lanka,2017,15-24,female,0.9914776999999999
Central and Southern Asia,Sri Lanka,2017,15-24,male,0.9854505
Central and Southern Asia,Sri Lanka,2017,15-24,total,0.9885646
Central and Southern Asia,Sri Lanka,2017,25-64,female,0.9213981
Central and Southern Asia,Sri Lanka,2017,25-64,male,0.926704
Central and Southern Asia,Sri Lanka,2017,25-64,total,0.9238249000000001
Central and Southern Asia,Sri Lanka,2017,65+,female,0.7544447
Central and Southern Asia,Sri Lanka,2017,65+,male,0.8644620000000001
Central and Southern Asia,Sri Lanka,2017,65+,total,0.8032131
Central and Southern Asia,Tajikistan,2014,15+,female,0.997
Central and Southern Asia,Tajikistan,2014,15+,male,0.9982
Central and Southern Asia,Tajikistan,2014,15+,total,0.998
Central and Southern Asia,Tajikistan,2014,15-24,female,0.9990000000000001
Central and Southern Asia,Tajikistan,2014,15-24,male,0.9986
Central and Southern Asia,Tajikistan,2014,15-24,total,0.9990000000000001
Central and Southern Asia,Tajikistan,2014,25-64,female,0.998
Central and Southern Asia,Tajikistan,2014,25-64,male,0.9984999999999999
Central and Southern Asia,Tajikistan,2014,25-64,total,0.998
Central and Southern Asia,Tajikistan,2014,65+,female,0.971
Central and Southern Asia,Tajikistan,2014,65+,male,0.992
Central and Southern Asia,Tajikistan,2014,65+,total,0.981
Central and Southern Asia,Turkmenistan,2014,15+,female,0.996
Central and Southern Asia,Turkmenistan,2014,15+,male,0.9975
Central and Southern Asia,Turkmenistan,2014,15+,total,0.997
Central and Southern Asia,Turkmenistan,2014,15-24,female,0.9990000000000001
Central and Southern Asia,Turkmenistan,2014,15-24,male,0.9976999999999999
Central and Southern Asia,Turkmenistan,2014,15-24,total,0.998
Central and Southern Asia,Turkmenistan,2014,25-64,female,0.998
Central and Southern Asia,Turkmenistan,2014,25-64,male,0.9981
Central and Southern Asia,Turkmenistan,2014,25-64,total,0.998
Central and Southern Asia,Turkmenistan,2014,65+,female,0.968
Central and Southern Asia,Turkmenistan,2014,65+,male,0.9887
Central and Southern Asia,Turkmenistan,2014,65+,total,0.976
Central and Southern Asia,Uzbekistan,2013,15+,female,0.9999587
Central and Southern Asia,Uzbekistan,2013,15+,male,0.9999383000000001
Central and Southern Asia,Uzbekistan,2013,15+,total,0.9999486000000001
Central and Southern Asia,Uzbekistan,2013,15-24,female,1.0
Central and Southern Asia,Uzbekistan,2013,15-24,male,1.0
Central and Southern Asia,Uzbekistan,2013,15-24,total,1.0
Central and Southern Asia,Uzbekistan,2013,25-64,female,1.0
Central and Southern Asia,Uzbekistan,2013,25-64,male,1.0
Central and Southern Asia,Uzbekistan,2013,25-64,total,1.0
Central and Southern Asia,Uzbekistan,2013,65+,female,0.9993466999999999
Central and Southern Asia,Uzbekistan,2013,65+,male,0.9987718999999999
